chineseName,spriteName
Treasure03,herocard_skill_2050
Treasure13,herocard_retinue_1028
Treasure33,herocard_retinue_2025
Treasure33Enemy,herocard_retinue_2025
Treasure34,herocard_retinue_2026
Treasure35,herocard_retinue_2027
Treasure38,card_monster_1021
Treasure39,card_retinue_2016
Treasure36,herocard_equip_2008
Treasure37,herocard_equip_2009
Treasure41,herocard_skill_2040
Treasure42,herocard_retinue_2026
Treasure43,herocard_skill_2041
Treasure44,herocard_skill_2042
Treasure45,herocard_skill_2043
Treasure46,herocard_skill_2044
ArtifactEquip28,herocard_skill_2048
ArtifactEquip34,herocard_skill_2049
Warrior38,herocard_skill_1005
Warrior217,herocard_skill_1005
Warrior218,herocard_skill_1005
Warrior218d,herocard_skill_1005
MagicS01a,herocard_skill_2033
MagicS01b,herocard_skill_2033
MagicS01c,herocard_skill_2033
MagicS01d,herocard_skill_2033
MagicS26a,herocard_skill_2002
MagicS26b,herocard_skill_2002
MagicS26c,herocard_skill_2002
MagicS26d,herocard_skill_2002
MagicS27a,card_skill_2007
MagicS27b,card_skill_2007
MagicS27c,card_skill_2007
MagicS27d,card_skill_2007
MagicS28a,herocard_skill_2047
MagicS28b,herocard_skill_2047
MagicS28c,herocard_skill_2047
MagicS28d,herocard_skill_2047
MagicS28dEnemy,herocard_skill_2047
MagicS30a,herocard_skill_2012
MagicS30b,herocard_skill_2012
MagicS30c,herocard_skill_2012
MagicS30d,herocard_skill_2012
MagicS31a,herocard_skill_2004
MagicS31b,herocard_skill_2004
MagicS31c,herocard_skill_2004
MagicS31d,herocard_skill_2004
