Key,Type,Desc,English,Chinese,ChineseTraditional,German,Portuguese,Russian,Italian,Spanish,Polish,Japanese,Korean,Vietnamese,French
ClockworkDelverCardName,Text,,Clockwork Excavator,发条挖掘器,發條挖掘器,,,,,,,時計仕掛け掘削機,,,
ClockworkGuardianCardDescription,Text,,Swap,换位,換位,,,,,,,位置交換,,,
ClockworkGuardianCardName,Text,,Earth Dragon Larva,走地龙幼虫,走地龍幼蟲,,,,,,,アース・ドラゴンの幼虫,,,
ClockworkSniperCardDescription,Text,,"Can be summoned to any position
Move: Deals 1 damage for 2 times to adjacent enemy units","可召唤在任意位置
移动：对相邻敌方单位造成1点伤害2次","可召喚在任意位置
移動：對相鄰敵方單位造成1點傷害2次",,,,,,,"任意位置に召喚可能
移動：隣接する敵ユニットに1ダメージを2回与える",,,
ClockworkSniperCardName,Text,,Mars,火星,火星,,,,,,,火星,,,
ClockworkStrikerCardDescription,Text,,Sweep,横扫,橫掃,,,,,,,一掃,,,
ClockworkStrikerCardName,Text,,Saturn,土星,土星,,,,,,,土星,,,
CoilOfPainCardDescription,Text,,Deals 2 damage to an enemy unit within Range 2 and 2 damage to all units adjacent to it,对一个射程2范围内的敌方单位造成2点伤害，并对其相邻的所有单位造成2点伤害,對一個射程2範圍內的敵方單位造成2點傷害，並對其相鄰的所有單位造成2點傷害,,,,,,,射程2の範囲内にいる敵ユニット1体に2ダメージを与え、そのユニットに隣接する全てのユニットに2ダメージを与える,,,
CoilOfPainCardName,Text,,Magic Bullet Toss,魔弹抛掷,魔彈拋擲,,,,,,,魔弾トス,,,
CommissarSpellCardDescription,Text,,Shatters an allied follower; grants other followers Dash 1 and Combo 1 until the end of the turn,摧毁一个友方随从；并给其他随从冲刺1和连击1，直到回合结束,摧毀一個友方隨從；並給其他隨從衝刺1和連擊1，直到回合結束,,,,,,,味方従者を一体破壊し。ターン終了時まで、他の従者にダッシュ1と連撃1を付与する,,,
CommissarSpellCardName,Text,,Seventh Circle,第七狱地委,第七獄地委,,,,,,,第七地獄の委員,,,
Common Cards,Text,,,,,,,,,,,,,,
Common29CardDescription,Text,,Deal 4 damage to the enemy. Draw 2 cards.,对敌人造成4点伤害。抽两张牌,對敵人造成4點傷害。抽兩張牌,,,,,,,敵に4ダメージを与える。カードを2枚引く,,,
Common29CardName,Text,,Knight's Flying Blade,骑士飞刃,騎士飛刃,,,,,,,騎士の飛刃,,,
Common30CardDescription,Text,,Cannot be played. Discard: Heal hero for 1 HP,无法被打出。主动丢弃：治疗英雄1点生命值,無法被打出。主動丟棄：治療英雄1點生命值,,,,,,,フィールドに出すことができない手動廃棄：ヒーローのHPを1回復する,,,
Common30CardName,Text,,Ash of Taluk,塔卢克的灰烬,塔盧克的灰燼,,,,,,,タルクの灰,,,
Common31CardDescription,Text,,"3 Crystals, used to select an extra number of cards from the loot. (Crystals do not appear in your deck, and each crystal is worth 5 gold.)",3块水晶，用以在战利品中选取额外数量的卡牌。 （水晶不会在你卡组里出现，每个水晶价值5金币）,3塊水晶，用以在戰利品中選取額外數量的卡牌。 （水晶不會在你卡組裡出現，每個水晶價值5金幣）,,,,,,,3個の水晶、使うと戦利品から追加のカードを選択できる。 （水晶はデッキには表示されず、それぞれに5金貨に相当する価値がある）,,,
Common31CardName,Text,,Crystal Pack,水晶包,水晶包,,,,,,,水晶パック,,,
Common32CardDescription,Text,,,,,,,,,,,,,,
Common32CardName,Text,,Kobold Servant,狗头人奴仆,狗頭人奴僕,,,,,,,コボルト従者,,,
Common33CardDescription,Text,,"When the hero attacks an adjacent unit with a weapon, restore 4 HP and exhaust this card.",英雄使用武器攻击相邻单位，恢复4点生命值并移除这张卡,英雄使用武器攻擊相鄰單位，恢復4點生命值並移除這張卡,,,,,,,ヒーローは武器を使って隣接するユニットを攻撃し、HPを4回復してこのカードを削除する,,,
Common33CardName,Text,,Vampire Fang,吸血鬼犬牙,吸血鬼犬牙,,,,,,,吸血鬼の牙,,,
Common34CardDescription,Text,,"Upon drawing this card, lose 1 mana. Cannot be discarded.",抽到这张牌时失去1点法力值。 无法丢弃,抽到這張牌時失去1點法力值。 無法丟棄,,,,,,,このカードを引いた場合マナを1失う。 廃棄不可,,,
Common34CardName,Text,,Stone of Denial,否定之石,否定之石,,,,,,,否定の石,,,
Common35CardDescription,Text,,,,,,,,,,,,,,
Common35CardName,Text,,Warrior,战士,戰士,,,,,,,戦士,,,
Common36CardDescription,Text,,Deal 3 damage to an enemy unit.,对敌方单位造成3点伤害,對敵方單位造成3點傷害,,,,,,,敵ユニットに3ダメージを与える,,,
Common36CardName,Text,,Throwing Axe,投掷斧,投擲斧,,,,,,,投げ斧,,,
Common37CardDescription,Text,,,,,,,,,,,,,,
Common37CardName,Text,,Mad Ogre,疯狂的食人魔,瘋狂的食人魔,,,,,,,狂気のオーガ,,,
Common38CardDescription,Text,,"Upon playing, lose 1 HP and exhaust this card.

This card is not automatically discarded at the end of the turn.

Discard: Lose 1 mana and exhaust this card.","打出时，失去1点生命值并移除这张卡

该卡在回合结束时不会被自动丢弃

丢弃：失去1点法力值并移除这张卡","打出時，失去1點生命值並移除這張卡

該卡在回合結束時不會被自動丟棄

丟棄：失去1點法力值並移除這張卡",,,,,,,"発動すると、HPを1失い、このカードが削除される

このカードはターン終了時に自動廃棄されない

廃棄：マナを1失い、このカードが削除される",,,
Common38CardName,Text,,Awakened Nightmare,觉醒梦魇,覺醒夢魘,,,,,,,悪夢覚醒,,,
Common38EffectCardDescription,Text,,Add a {{Common38}} to your deck at the start of battle,在战斗开始时将一张{{Common38}}放入你的牌组,在戰鬥開始時將一張{{Common38}}放入你的牌組,,,,,,,戦闘開始時に{{Common38}}をデッキに追加する,,,
Common38EffectCardName,Text,,Awakened Nightmare,觉醒梦魇,覺醒夢魘,,,,,,,悪夢覚醒,,,
CommonEffect01CardDescription,Text,,"At the beginning of your turn, take damage equal to the number of Poison layers, reducing the layers by 1 each turn.",在回合开始时，受到中毒层数的伤害，每回合层数减1,在回合開始時，受到中毒層數的傷害，每回合層數減1,,,,,,,ターン開始時、中毒スタック数に等しいダメージを受ける。ターンごとに、スタック数-1,,,
CommonEffect01CardName,Text,,Poison,中毒,中毒,,,,,,,中毒,,,
CommonEffect01aCardDescription,Text,,"At the beginning of your turn, take damage equal to the number of Poison layers, reducing the layers by 1 each turn.",在回合开始时，受到中毒层数的伤害，每回合层数减1,在回合開始時，受到中毒層數的傷害，每回合層數減1,,,,,,,ターン開始時、中毒スタック数に等しいダメージを受ける。ターンごとに、スタック数-1,,,
CommonEffect01aCardName,Text,,Poison,中毒,中毒,,,,,,,中毒,,,
CommonEffect02CardDescription,Text,,Counteract any damage taken once and reduce Block by 1. Remove the effect at the start of the turn.,抵消一次遭受的任意伤害，并减少1点格挡值。在回合开始时消除此效果,抵消一次遭受的任意傷害，並減少1點格擋值。在回合開始時消除此效果,,,,,,,受けた任意のダメージを1つ無効化し、ブロック値-1。ターン開始時、この効果が解除される,,,
CommonEffect02CardName,Text,,Block,格挡,格擋,,,,,,,ブロック,,,
CommonEffect03CardDescription,Text,,Cannot move or attack this turn.,本回合无法移动或攻击,本回合無法移動或攻擊,,,,,,,このターン、移動も攻撃もできなくなる,,,
CommonEffect03CardName,Text,,Freeze,冰冻,冰凍,,,,,,,フリーズ,,,
CommonEffect04CardDescription,Text,,This unit cannot move or take action during this turn.,该单位本回合无法移动或采取行动,該單位本回合無法移動或採取行動,,,,,,,このターン、このユニットは移動と行動ができない,,,
CommonEffect04CardName,Text,,Stunned,晕眩,暈眩,,,,,,,スタン,,,
CommonEffect05CardDescription,Text,,This unit cannot move this turn (but can attack).,该单位本回合无法移动(但可攻击),該單位本回合無法移動(但可攻擊),,,,,,,このターンこのユニットは移動できなくなる（ただし攻撃できる）,,,
CommonEffect05CardName,Text,,Rooted,定身,定身,,,,,,,拘束,,,
CommonEffect06CardDescription,Text,,Increase ATK by an amount equal to the number of units you control in the game,增加你在游戏中控制的单位数相等的攻击力,增加你在遊戲中控制的單位數相等的攻擊力,,,,,,,ゲーム内で制御したユニット数に等しい攻撃力を獲得する,,,
CommonEffect06CardName,Text,,Inspire,激励,激勵,,,,,,,激励,,,
CommonEffect07CardDescription,Text,,Increase ATK equal to its value until the end of turn,增加等于其值的攻击力，直到回合结束,增加等於其值的攻擊力，直到回合結束,,,,,,,その値に等しい攻撃力を獲得、ターン終了時まで持続,,,
CommonEffect07CardName,Text,,Consolidate,巩固,鞏固,,,,,,,強固,,,
CommonEffect08CardDescription,Text,,Double basic ATK until end of turn,双倍基础攻击力，直到回合结束,雙倍基礎攻擊力，直到回合結束,,,,,,,基礎攻撃力が2倍になる、ターン終了時まで持続,,,
CommonEffect08CardName,Text,,Enhance,强化,強化,,,,,,,強化,,,
CommonEffect09CardDescription,Text,,Increase the ATK of all your units by 2,你的所有单位增加2点攻击力,你的所有單位增加2點攻擊力,,,,,,,あなたのすべてのユニットの攻撃力+2,,,
CommonEffect09CardName,Text,,Unity,团结,團結,,,,,,,団結,,,
CommonEffect10CardDescription,Text,,"When this unit is shattered, restore it to full HP, it cannot be attacked for 1 turn.",当本单位被摧毁时，将其恢复至满生命值并在1回合内无法被攻击,當本單位被摧毀時，將其恢復至滿生命值並在1回合內無法被攻擊,,,,,,,このユニットが破壊されると、HP上限まで回復させ、1ターンの間攻撃受けなくなる,,,
CommonEffect10CardName,Text,,Rebirth,重生,重生,,,,,,,転生,,,
CommonEffect11CardDescription,Text,,Cannot be targeted by enemies. Protect status decreases by 1 at the start of each turn.,无法被敌人作为目标。每回合开始时保护状态值减1,無法被敵人作為目標。每回合開始時保護狀態值減1,,,,,,,敵にターゲットにされない。各ターン開始時、保護状態値-1,,,
CommonEffect11CardName,Text,,Protect,保护,保護,,,,,,,保護,,,
CommonEffect12CardDescription,Text,,"Take X damage at the start of turn. Burn Points +1 for each move, resetting at the end of the turn if you have not moved.",回合开始受到X点伤害。每次移动灼烧值+1。回合结束未移动过则清除灼烧,回合開始受到X點傷害。每次移動灼燒值+1。回合結束未移動過則清除灼燒,,,,,,,ターン開始時、Xダメージを受ける。移動するたびに、燃焼値+1。ターン終了時に一度も移動しなかった場合、燃焼が解除される,,,
CommonEffect12CardName,Text,,Burn,灼烧,灼燒,,,,,,,燃焼,,,
CommonEffect14CardDescription,Text,,Reduces ATK equal to Weakened value by -1 at end of turn,降低等于虚弱值的攻击力，回合结束时，虚弱值-1,降低等於虛弱值的攻擊力，回合結束時，虛弱值-1,,,,,,,虚弱値に等しい攻撃力を低下させる。ターン終了時に、虚弱値-1,,,
CommonEffect14CardName,Text,,Weakened,虚弱,虛弱,,,,,,,虚弱,,,
CommonEffect15CardDescription,Text,,"When shattered, incubates a follower with this effect in its place.",被摧毁时，在其位置孵化一个带有此效果的随从。,被摧毀時，在其位置孵化一個帶有此效果的隨從。,,,,,,,破壊されるとこの効果を持つ従者がその位置に孵化する。,,,
CommonEffect15CardName,Text,,Infest,感染,感染,,,,,,,感染,,,
CommonEffect16CardDescription,Text,,Gain the ATK of the follower shattered by this unit,获得被本单位摧毁随从的攻击力,獲得被本單位摧毀隨從的攻擊力,,,,,,,このユニットが破壊した従者の攻撃力を獲得する,,,
CommonEffect16CardName,Text,,Devour,吞食,吞食,,,,,,,呑食,,,
CommonEffect17CardDescription,Text,,Move extra X times,可额外移动X次,可額外移動X次,,,,,,,追加でX回移動できる,,,
CommonEffect17CardName,Text,,Thrust,突进,突進,,,,,,,突進,,,
CommonEffect18CardDescription,Text,,Reduces ATK equal to this value,降低等于该值的攻击力,降低等於該值的攻擊力,,,,,,,この値に等しい攻撃力を低下させる,,,
CommonEffect18CardName,Text,,Weaken,弱化,弱化,,,,,,,弱体化,,,
CommonEffect19CardDescription,Text,,"Once per turn, immediately performs an extra attack against enemies that move or are summoned to adjacent tile",一回合一次，对移动、被召唤到相邻格子的敌人立即进行一次额外攻击,一回合一次，對移動、被召喚到相鄰格子的敵人立即進行一次額外攻擊,,,,,,,1ターンに1回。移動、隣接するマスに召喚された敵に、すぐに追加攻撃を1回与える,,,
CommonEffect19CardName,Text,,Guardian,守卫,守衛,,,,,,,守衛,,,
CommonEffect20CardDescription,Text,,"When this card is discarded or shattered, exhaust it from the game",当这张卡被丢弃或摧毁时，从游戏中移除,當這張卡被丟棄或摧毀時，從遊戲中移除,,,,,,,このカードが廃棄または破壊された場合、ゲームから削除される,,,
CommonEffect20CardName,Text,,Replica,复制品,複製品,,,,,,,複製品,,,
CommonEffect21CardDescription,Text,,"When attacked within range and surviving, automatically makes an attack",当受到射程内的目标攻击并存活时，自动进行一次攻击,當受到射程內的目標攻擊並存活時，自動進行一次攻擊,,,,,,,射程内のターゲットから攻撃を受けて生き残った場合、自動的に攻撃を1回与える,,,
CommonEffect21CardName,Text,,Counterattack,反击,反擊,,,,,,,反撃,,,
CommonEffect22CardDescription,Text,,"Halve the HP of non-boss enemy heroes encountered next time, then this status decreases by 1",减半下次遭遇的非首领敌方英雄生命值，然后该状态值减1,減半下次遭遇的非首領敵方英雄生命值，然後該狀態值減1,,,,,,,次に受ける敵ヒーロー（非ボス）のHPを半分にする。そしてこの状態値-1,,,
CommonEffect22CardName,Text,,Cursed Enemy,被诅咒的敌人,被詛咒的敵人,,,,,,,呪われた敵,,,
CommonEffect23CardDescription,Text,,Move X extra times per turn,每回合可额外移动X次,每回合可額外移動X次,,,,,,,各ターン追加でX回移動できる,,,
CommonEffect23CardName,Text,,Thrust 2,突进2,突進2,,,,,,,突進2,,,
CommonEffect24CardDescription,Text,,"When attacking, deals damage to adjacent enemy units as well, and Cleave is reduced by 1 at the end of the turn",攻击时，对自身相邻的敌人单位也造成伤害，在回合结束时劈砍状态值减1,攻擊時，對自身相鄰的敵人單位也造成傷害，在回合結束時劈砍狀態值減1,,,,,,,攻撃時、自身に隣接する敵ユニットにもダメージを与える。ターン終了時に、斬撃状態値-1,,,
CommonEffect24CardName,Text,,Cleave,劈砍,劈砍,,,,,,,斬撃,,,
CommonEffect24aCardDescription,Text,,Deal damage to enemy units adjacent to itself when attacking,攻击时，对自身相邻的敌人单位也造成伤害,攻擊時，對自身相鄰的敵人單位也造成傷害,,,,,,,攻撃時、自身に隣接する敵ユニットにもダメージを与える,,,
CommonEffect24aCardName,Text,,Cleave,劈砍,劈砍,,,,,,,斬撃,,,
CommonEffect25CardDescription,Text,,Move X extra times per turn,每回合可额外移动X次,每回合可額外移動X次,,,,,,,各ターン追加でX回移動できる,,,
CommonEffect25CardName,Text,,Thrust 3,突进3,突進3,,,,,,,突進3,,,
CommonEffect26CardDescription,Text,,The unit cannot move or attack,该单位无法移动或采取攻击,該單位無法移動或採取攻擊,,,,,,,このユニットは移動も攻撃もできない,,,
CommonEffect26CardName,Text,,Summoning Stun,召唤眩晕,召喚眩暈,,,,,,,召喚スタン,,,
CommonEffect27CardDescription,Text,,"Increase X damage from attacks, layers decrease by 1 at the end of turn",受到的攻击伤害提高X，回合结束时层数-1,受到的攻擊傷害提高X，回合結束時層數-1,,,,,,,受ける攻撃ダメージがX上昇、ターン終了時にスタック数-1,,,
CommonEffect27CardName,Text,,Vulnerable,易伤,易傷,,,,,,,衰弱,,,
CommonEffect28CardDescription,Text,,"Immediately attack when an enemy moves for the first time or is summoned within its range,",当敌人第一次移动或者被召唤到其攻击射程中时，立即进行攻击,當敵人第一次移動或者被召喚到其攻擊射程中時，立即進行攻擊,,,,,,,敵が最初に移動したとき、または攻撃射程内に召喚されたときに、すぐに攻撃する,,,
CommonEffect28CardName,Text,,Guardian,守卫,守衛,,,,,,,守衛,,,
CommonEffect29CardDescription,Text,,Immune to next X normal attacks against this unit,对本单位的下X次普通攻击不会造成伤害,對本單位的下X次普通攻擊不會造成傷害,,,,,,,このユニットの次のX回の通常攻撃はダメージを与えることができない,,,
CommonEffect29CardName,Text,,Void,虚无,虛無,,,,,,,虚無,,,
CommonEffect29aCardDescription,Text,,Immune to normal attack for 1 turn,不会受到普通攻击伤害，持续1回合,不會受到普通攻擊傷害，持續1回合,,,,,,,通常攻撃のダメージを受けない。1ターン持続,,,
CommonEffect29aCardName,Text,,Void,虚无,虛無,,,,,,,虚無,,,
CommonEffect29bCardDescription,Text,,Immune to normal attack,不会受到普通攻击伤害,不會受到普通攻擊傷害,,,,,,,通常攻撃のダメージを受けない,,,
CommonEffect29bCardName,Text,,Void,虚无,虛無,,,,,,,虚無,,,
CommonEffect30CardDescription,Text,,"1. Players draw 5 cards per turn.
2. Mana is fully restored each turn.
3. Remove the previous mechanism of ""discard cards to regain mana"".
4. All follower cards cost mana +1.
5. Draw amount is no longer affected by current mana.","1.玩家每回合抽5张卡牌
2.法力值每回合会完全回满
3.剔除旧的“弃牌回复法力值”机制
4.所有随从牌均消耗+1法力值
5.抽牌数不再受当前法力值的影响","1.玩家每回合抽5張卡牌
2.法力值每回合會完全回滿
3.剔除舊的“棄牌回復法力值”機制
4.所有隨從牌均消耗+1法力值
5.抽牌數不再受當前法力值的影響",,,,,,,"1.プレイヤーは各ターン、カードを5枚引く
2.マナは各ターン上限まで回復する
3.元の「廃棄でマナ回復」システムを削除する
4.全ての従者カードが1マナを消費する
5.カードを引く数量は、現在のマナの影響を受けなくなる",,,
CommonEffect30CardName,Text,,New Mana Mechanism,全新法力机制,全新法力機制,,,,,,,新しいマナシステム,,,
CommonEffect31CardDescription,Text,,Doubled all types of damage until next turn,受到所有类型的伤害都会加倍，直到下回合开始,受到所有類型的傷害都會加倍，直到下回合開始,,,,,,,次のターン開始時まで、受けるあらゆるダメージがダブルになる,,,
CommonEffect31CardName,Text,,Vulnerable,易伤,易傷,,,,,,,衰弱,,,
CommonEffect32CardDescription,Text,,Deals double damage to enemies with lower ATK than the unit when attacking this turn,在本回合对攻击力低于自己的敌人，攻击时造成2次伤害,在本回合對攻擊力低於自己的敵人，攻擊時造成2次傷害,,,,,,,このターン、自分より攻撃力の低い敵を攻撃するとダメージを2回与える,,,
CommonEffect32CardName,Text,,Predator,掠食者,掠食者,,,,,,,捕食者,,,
CommonEffect32aCardDescription,Text,,Deals double damage to enemies with lower ATK than the unit when attacking,对攻击力低于自己的敌人，攻击时造成2次伤害,對攻擊力低於自己的敵人，攻擊時造成2次傷害,,,,,,,自分より攻撃力の低い敵を攻撃すると、ダメージを2回与える,,,
CommonEffect32aCardName,Text,,Predator,"掠食者
","掠食者
",,,,,,,"捕食者
",,,
CommonEffect33CardDescription,Text,,Defeated: Deals damage to your hero equal to the specified value,阵亡：对己方英雄造成相应数字的伤害,陣亡：對己方英雄造成相應數字的傷害,,,,,,,死亡：味方ヒーローに対応する値のダメージを与える,,,
CommonEffect33CardName,Text,,Disaster,灾祸,災禍,,,,,,,災害,,,
CommonEffect34CardDescription,Text,,Defeated: Grants ATK to an adjacent enemy unit equal to the specified value,阵亡：相邻敌方单位获得相应数字的攻击力,陣亡：相鄰敵方單位獲得相應數位的攻擊力,,,,,,,死亡：隣接する敵ユニットが対応する値の攻撃力を獲得する,,,
CommonEffect34CardName,Text,,Sliced,被切割,被切割,,,,,,,切断される,,,
CommonEffect35CardDescription,Text,,Defeated: Chain: Deals damage equal to a specified value to adjacent unit,阵亡：连锁：对相邻单位造成相应数字的伤害,陣亡：連鎖：對相鄰單位造成相應數位的傷害,,,,,,,死亡：連鎖：隣接するユニットに対応する値のダメージを与える,,,
CommonEffect35CardName,Text,,Remote Controlled,被遥控,被遙控,,,,,,,遠隔操作される,,,
CommonEffect36CardDescription,Text,,Defeated: adjacent unit gains Predator,阵亡：相邻单位获得掠食者,陣亡：相鄰單位獲得掠食者,,,,,,,死亡：隣接するユニットが捕食者を獲得する,,,
CommonEffect36CardName,Text,,Infested Predator,"被感染的掠食者
","被感染的掠食者
",,,,,,,"感染した捕食者
",,,
CommonEffect37CardDescription,Text,,Move X extra times,可额外移动X次,可額外移動X次,,,,,,,追加でX回移動できる,,,
CommonEffect37CardName,Text,,Thrust,突进,突進,,,,,,,突進,,,
CommonEffect38CardDescription,Text,,Unit gains Sweep,单位获得横扫,單位獲得橫掃,,,,,,,ユニットが一掃を獲得する,,,
CommonEffect38CardName,Text,,Sweep,横扫,橫掃,,,,,,,一掃,,,
CommonEffect39CardDescription,Text,,Unit inflicts Burn equal to its value when attacks,单位攻击时造成等于其数值的灼烧,單位攻擊時造成等於其數值的灼燒,,,,,,,ユニットが攻撃すると、その値に等しい燃焼を与える,,,
CommonEffect39CardName,Text,,Flame Blessing,火焰祝福,火焰祝福,,,,,,,炎の祝福,,,
CommonEffect40CardDescription,Text,,Unit gains an extra range equal to its value,单位获得额外等于其数值的射程,單位獲得額外等於其數值的射程,,,,,,,ユニットは追加でその値に等しい射程を獲得する,,,
CommonEffect40CardName,Text,,Bring a bow!,带上弓箭！,帶上弓箭！,,,,,,,弓矢を持って来い！,,,
CommonEffect41CardDescription,Text,,Unit gains +1/+1 equal to a multiple of its value,单位获得等于其数值倍数的+1/+1,單位獲得等於其數值倍數的+1/+1,,,,,,,ユニットはその値の倍数に等しい+1/+1を獲得する,,,
CommonEffect41CardName,Text,,Grow Blessing,成长祝福,成長祝福,,,,,,,成長の祝福,,,
CommonEffect42CardDescription,Text,,Next attack inflicts Vulnerable X,下次攻击对目标附加易伤X,下次攻擊對目標附加易傷X,,,,,,,次の攻撃時にターゲットに衰弱Xを付与する,,,
CommonEffect42CardName,Text,,Cruelty,残忍,殘忍,,,,,,,残酷,,,
CommonEffect43CardDescription,Text,,"At the beginning of your turn, a random allied follower gains Thrust 1 this turn",你的回合开始时，你的随机一个随从本回合获得突进1,你的回合開始時，你的隨機一個隨從本回合獲得突進1,,,,,,,あなたのターン開始時、自分のランダムな従者1体がこのターンの間突進1を獲得する,,,
CommonEffect43CardName,Text,,Swift,迅捷,迅捷,,,,,,,迅速,,,
CommonEffect44CardDescription,Text,,"Naughty or ""Goody"" followers trigger an extra effect when played.",“淘气”或“好人”随从在被打出的时候会触发额外的效果。,“淘氣”或“好人”隨從在被打出的時候會觸發額外的效果。,,,,,,,「やんちゃ」または「お人好し」従者を出すと、追加効果が発動する。,,,
CommonEffect44CardName,Text,,Winter Blessing,冬季祝福,冬季祝福,,,,,,,冬の祝福,,,
CommonEffect45CardDescription,Text,,"When played: 

- Discard a random card in your hand 

- Unit ATK -1

- Unit deals 2 damage to all adjacent units 

- Unit takes 1 damage 

- Unit Moves -1 

- Loses 1 mana","被打出时：
- 丢弃你手中的一张随机牌
- 单位-1攻击力
- 单位对所有相邻单位造成2点伤害
- 单位受到1点伤害
- 单位移动力-1
- 损失1个法力值","被打出時：
- 丟棄你手中的一張隨機牌
- 單位-1攻擊力
- 單位對所有相鄰單位造成2點傷害
- 單位受到1點傷害
- 單位移動力-1
- 損失1個法力值",,,,,,,"出された時：
- 手札のカードがランダムに1枚廃棄される
- ユニットの攻撃力-1
- ユニットは全ての隣接するユニットに2ダメージを与える
- ユニットは1ダメージを受ける
- ユニットの移動値-1
- マナを1失う",,,
CommonEffect45CardName,Text,,Naughty,淘气,淘氣,,,,,,,やんちゃ,,,
CommonEffect46CardDescription,Text,,"When played: 

- Gain 1 mana 

- Draw a card 

- Hero gains ATK +2 this turn 

- Heal all adjacent units for 2 HP

- Unit HP +2
- Unit ATK +1 

- Unit gains Haste","被打出时：
- 获得1个法力值
- 抽一张牌
- 本回合英雄获得+2攻击力
- 治疗所有相邻单位2生命值
- 单位+2生命值
- 单位+1攻击力
- 单位获得急速","被打出時：
- 獲得1個法力值
- 抽一張牌
- 本回合英雄獲得+2攻擊力
- 治療所有相鄰單位2生命值
- 單位+2生命值
- 單位+1攻擊力
- 單位獲得急速",,,,,,,"出された時：
- マナを1獲得する
- カードを1枚引く
- このターン、ヒーローの攻撃力+2
- 全ての隣接するユニットのHPを2回復する
- ユニットのHP+2
- ユニットの攻撃力+1
- ユニットが急速を獲得する",,,
CommonEffect46CardName,Text,,Goody,好人,好人,,,,,,,お人好し,,,
CommonEffect47CardDescription,Text,,,,,,,,,,,,,,
CommonEffect47CardName,Text,,,,,,,,,,,,,,
CommonEffect48CardDescription,Text,,,,,,,,,,,,,,
CommonEffect48CardName,Text,,,,,,,,,,,,,,
CommonEffect49CardDescription,Text,,,,,,,,,,,,,,
CommonEffect49CardName,Text,,,,,,,,,,,,,,
CommonEffect50CardDescription,Text,,,,,,,,,,,,,,
CommonEffect50CardName,Text,,,,,,,,,,,,,,
CommonEffect60CardDescription,Text,,"When attacked, deal X damage to the attacker",受到攻击时，对攻击者造成X点伤害,受到攻擊時，對攻擊者造成X點傷害,,,,,,,攻撃されると、攻撃者にXダメージを与える,,,
CommonEffect60CardName,Text,,Thorns,荆棘,荊棘,,,,,,,いばら,,,
CommonEffect61CardDescription,Text,,Stun the target with your next attack,你的下次攻击会眩晕目标,你的下次攻擊會眩暈目標,,,,,,,次の攻撃でターゲットをスタンさせる,,,
CommonEffect61CardName,Text,,Heavy Strike,重击,重擊,,,,,,,重撃,,,
CommonEffect62CardDescription,Text,,,,,,,,,,,,,,
CommonEffect62CardName,Text,,Flame Shield,炎盾,炎盾,,,,,,,炎シールド,,,
CommonEffect63CardDescription,Text,,Inflicts Vulnerable X with attack this turn,本回合，攻击时附加易伤X,本回合，攻擊時附加易傷X,,,,,,,このターン、攻撃時に衰弱を付与する,,,
CommonEffect63CardName,Text,,Cruelty,残忍,殘忍,,,,,,,残酷,,,
CommonEffect63udCardDescription,Text,,Inflicts Vulnerable X to the target when attacking,攻击时对目标附加易伤X,攻擊時對目標附加易傷X,,,,,,,攻撃時にターゲットに衰弱Xを付与する,,,
CommonEffect63udCardName,Text,,Cruelty,残忍,殘忍,,,,,,,残酷,,,
CommonEffect64CardDescription,Text,,Restore X HP at the start of the turn,回合开始，回复X点生命,回合開始，回復X點生命,,,,,,,ターン開始時に、HPをX回復する,,,
CommonEffect64CardName,Text,,Poisonous Cure,毒疗,毒療,,,,,,,毒の治療,,,
CommonEffect65CardDescription,Text,,"Gain +1/+1, and transfers control to {{LiquidSteel}}; this effect can be canceled if damaged.",获得+1/+1，将控制权交予{{LiquidSteel}}，受到伤害可以取消这个效果,獲得+1/+1，將控制權交予{{LiquidSteel}}，受到傷害可以取消這個效果,,,,,,,+1/+1を獲得。制御権を{{LiquidSteel}}に渡す。ダメージを受けるとこの効果は解除される,,,
CommonEffect65CardName,Text,,Dragon Fruit,龙晶果,龍晶果,,,,,,,竜晶フルーツ,,,
CommonEffect65aCardDescription,Text,,Gain +1/+1,获得+1/+1,獲得+1/+1,,,,,,,+1/+1を獲得する,,,
CommonEffect65aCardName,Text,,Dragon Fruit,龙晶果,龍晶果,,,,,,,竜晶フルーツ,,,
CommonEffect66CardDescription,Text,,Your followers gain ATK +X upon being summoned.,你的随从召唤时获得+X攻击力,你的隨從召喚時獲得+X攻擊力,,,,,,,従者召喚時、攻撃力+X,,,
CommonEffect66CardName,Text,,Deploy,部署,部署,,,,,,,配置,,,
CommonEffect67CardDescription,Text,,Your follower consumes mana +1 and gets +1/+1 upon being summoned,你的随从法力消耗+1，召唤时获得+1/+1,你的隨從法力消耗+1，召喚時獲得+1/+1,,,,,,,あなたの従者のマナ消費+1、召喚時に+1/+1を獲得する,,,
CommonEffect67CardName,Text,,Fully Prepared,充分备战,充分備戰,,,,,,,戦闘準備万端,,,
CommonEffect68CardDescription,Text,,Your follower gains +1/+1 upon being summoned,你的随从召唤时获得+1/+1,你的隨從召喚時獲得+1/+1,,,,,,,従者召喚時、+1/+1を獲得する,,,
CommonEffect68CardName,Text,,Fully Prepared,充分备战,充分備戰,,,,,,,戦闘準備万端,,,
CommonEffect69CardDescription,Text,,Your follower gains +2/+2 upon being summoned,你的随从召唤时获得+2/+2,你的隨從召喚時獲得+2/+2,,,,,,,従者召喚時、+2/+2を獲得する,,,
